supplier,order_book_product,order_book_pack,match,item_code,catalogue_description,candidates
Transhing,NORI GOLD FULL SHEET BIG BOX,4000UN,similar — review,,,NORIFULL = NORI GOLD FULL SHEET (4000UN) BIG BOX | NORIGHALF = YAMADA - NORI GOLD *HALF* SHEET BIG BOX / 4 X 1000UN | nori gold full sheet 1000 un = nori gold full sheet 1000 un | NORINAG = NORI FULL NAGAI BOX
Transhing,BLACK ROASTED SESAME SEEDS FULL BOX,12 X 1KG,exact (name + pack),SESAMEBLK,BLACK ROASTED SESAME SEEDS FULL BOX (12 X 1KG),SESAMEBLKPCS = BLACK ROASTED SESAME SEEDS (1KG) | SESAMEWHT = WHITE ROASTED SESAME SEEDS FULL BOX (10X 1 KG) | SESAMEWHTPCS = WHITE ROASTED SESAME SEEDS (1 KG)
Transhing,WHITE ROASTED SESAME SEEDS FULL BOX,10 X 1KG,similar — review,,,SESAMEBLK = BLACK ROASTED SESAME SEEDS FULL BOX (12 X 1KG) | SESAMEWHT = WHITE ROASTED SESAME SEEDS FULL BOX (10X 1 KG) | SESAMEWHTPCS = WHITE ROASTED SESAME SEEDS (1 KG)
Transhing,HUY FONG - SAMBAL OELEK,"3 X 3,5L",exact (name + pack),SAMOLEK,"HUY FONG - SAMBAL OELEK / 3 X 3,5L",
Transhing,SQUID BRAND - FISH SAUCE,3 X 4500ML,similar — review,,,SAUCEFISHSB345 = SQUID BRAND - FISH SAUCE 3X4500ML | SAUCEFISHSB12 = SQUID BRAND - FISH SAUCE / 12 X 725ML
Transhing,OYSTER SAUCE PANDA,6 X 5LBS,similar — review,,,OYSSAU = OYSTER SAUCE PANDA (6X5LBS)
Transhing,HOISIN SAUCE,6 X 5LBS,exact (name + pack),SAUCEHOISIN65,HOISIN SAUCE / 6 X 5LBS,SAUCEGOLDMNT = GOLDEN MOUNTAIN  - SOYBEAN SAUCE SEASONING SAUCE / 12 X 600ML | LKKSACH = HOISIN SAUCE PORTION BAG/  500 X 7G | MACARICOPIRI = MACARICO - PIRI-PIRI SAUCE / SAUCE PIRI-PIRI (6 X 2.1L)
Transhing,GOBERGE - SURIMI IMITATION CRAB STICKS - 9 CM,20 X 500G,similar — review,,,GOB-013 = GOBERGE - SURIMI IMITATION CRAB STICKS - 9 CM (20X500G)
Transhing,GOLDEN SWALLOW - DONGGUAN RICE VERMICELLI,50 X 400G,exact (name + pack),RICEGOLDENSW,GOLDEN SWALLOW - DONGGUAN RICE VERMICELLI (50 X 400G),
Transhing,FRIED TEMPURA TENKTASU,6kg,no match,,,
Fra-Di,STANISLAUS - 7/11 UNPEELED GROUND TOMATOES,6 X 2.84L,exact (name + pack),STAN711,STANISLAUS - 7/11 UNPEELED GROUND TOMATOES / 6 X 2.84L,STANMAGIC = STANISLAUS - MAGIC / PEELED GROUND TOMATOES / 6 X 2.84L
Fra-Di,STANISLAUS - VALOROSO / WHOLE PEELED PEAR TOMATOES,6 X 2.84L,exact (name + pack),STANVALO,STANISLAUS - VALOROSO / WHOLE PEELED PEAR TOMATOES / 6 X 2.84L,
Mega Importing,ROSSO - WHOLE PEELED TOMATOES,6 X 100OZ,exact (name + pack),TOMROSWHL,ROSSO - WHOLE PEELED TOMATOES / 6 X 100OZ,STANVALO = STANISLAUS - VALOROSO / WHOLE PEELED PEAR TOMATOES / 6 X 2.84L | rosso peeled tomatoes with basil = rosso peeled tomatoes with basil | STANALTA = **DO NOT SELL**STANISLAUS - ALTA CUCINA / WHOLE PEELED TOMATOES / 6 X 2.84L | TOMPEELBIANCO = BIANCO DI NAPOLI - WHOLE PEELED TOMATOES 6X100OZ
JFC,SANGARIA RAMUNE MELON,18X200ML,exact (name + pack),RAM-011,SANGARIA RAMUNE MELON (18X200ML),
JFC,SANGARIA RAMUNE LYCHEE,18X200ML,exact (name + pack),RAM-012,SANGARIA RAMUNE LYCHEE (18X200ML),
JFC,SANGARIA RAMUNE ORIGINAL,18X200ML,exact (name + pack),RAM-010,SANGARIA RAMUNE ORIGINAL (18X200ML),
JFC,SOYA SAUCE GLUTEN FREE,18.9L,exact (name + pack),SAUCESOYKIKGF,SOYA SAUCE GLUTEN FREE / 18.9L,POKESAUCE378 = GLUTEN FREE POKE SAUCE 6X378ML | SAUCESOYGF189 = KIKKOMAN -TAMARI SOYA SAUCE GLUTEN FREE / 6 X1.89L
JFC,KIKKOMAN - MIRIN KOTTERIN,18.9L,exact (name + pack),MIRIN189,KIKKOMAN - MIRIN KOTTERIN / 18.9L,
JFC,VINEGAR SD-51,15L,exact (name + pack),VNGSD51,VINEGAR SD-51 / 15L,VNGSUSHIRICESM = MARUKAN - SUSHI RICE VINEGAR (3.78L) | VNGREDWINE = RED WINE VINEGAR (2 X 5L) | VNGSHIRAGIKU = HARUKOMA - VINEGAR MIZKAN - JAPAN / 20L | misho grain vinegar marukan = misho grain vinegar marukan | Allen’s cider Vinegar 2/5L = Allen’s cider Vinegar 2/5L | CHINCOOK = CHINESE COOKING WHINE VINEGAR / 12 X 600ML
JFC,VINEGAR MD-43,15L,exact (name + pack),VNGMD43,VINEGAR MD-43 / 15L,VNGSUSHIRICESM = MARUKAN - SUSHI RICE VINEGAR (3.78L) | VNGREDWINE = RED WINE VINEGAR (2 X 5L) | VNGSHIRAGIKU = HARUKOMA - VINEGAR MIZKAN - JAPAN / 20L | misho grain vinegar marukan = misho grain vinegar marukan | Allen’s cider Vinegar 2/5L = Allen’s cider Vinegar 2/5L | CHINCOOK = CHINESE COOKING WHINE VINEGAR / 12 X 600ML
JFC,VINEGAR FUJI SEASONING,15L,exact (name + pack),VNGFUKI,VINEGAR FUJI SEASONING / 15L,
JFC,MARUKAN - SUSHI RICE VINEGAR,3.78L,exact (name + pack),VNGSUSHIRICESM,MARUKAN - SUSHI RICE VINEGAR (3.78L),
JFC,PANKO BREAD CRUMBS,9KG,exact (name + pack),PANKO9,PANKO BREAD CRUMBS (9KG),BALPANKO = BALITOV - KIKKOMAN PANKO BREAD CRUMBS 9KG
JFC,ATSUYAKI TAMAGO,8 X 500G,exact (name + pack),TAMAGO,ATSUYAKI TAMAGO / 8 X 500G,
VIEDERA,SMALL NITRIL BLACK GLOVES,,similar — review,,,GLOVBLKNITL = LARGE NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVBLKNITM = MEDIUM NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVBLKNITSM = SMALL NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVNIXL = XL NITRIL BLACK GLOVES / 10 X 100 UNITS
VIEDERA,MEDIUM NITRIL BLACK GLOVES,,similar — review,,,GLOVBLKNITL = LARGE NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVBLKNITM = MEDIUM NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVBLKNITSM = SMALL NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVNIXL = XL NITRIL BLACK GLOVES / 10 X 100 UNITS
VIEDERA,LARGE NITRIL BLACK GLOVES,,similar — review,,,GLOVBLKNITL = LARGE NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVBLKNITM = MEDIUM NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVBLKNITSM = SMALL NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVNIXL = XL NITRIL BLACK GLOVES / 10 X 100 UNITS
VIEDERA,XL NITRIL BLACK GLOVES,,similar — review,,,GLOVBLKNITL = LARGE NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVBLKNITM = MEDIUM NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVBLKNITSM = SMALL NITRIL BLACK GLOVES / 10 X 100 UNITS | GLOVNIXL = XL NITRIL BLACK GLOVES / 10 X 100 UNITS
VIEDERA,SMALL VINYL CLEAR GLOVES,,similar — review,,,GLOVVINL = LARGE VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINM = MEDIUM VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINS = SMALL VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINXL = XLARGE VINYL CLEAR GLOVES / 10 X 100 UNITS
VIEDERA,MEDIUM VINYL CLEAR GLOVES,,similar — review,,,GLOVVINL = LARGE VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINM = MEDIUM VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINS = SMALL VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINXL = XLARGE VINYL CLEAR GLOVES / 10 X 100 UNITS
VIEDERA,LARGE VINYL CLEAR GLOVES,,similar — review,,,GLOVVINL = LARGE VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINM = MEDIUM VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINS = SMALL VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINXL = XLARGE VINYL CLEAR GLOVES / 10 X 100 UNITS
VIEDERA,XLARGE VINYL CLEAR GLOVES,,similar — review,,,GLOVVINL = LARGE VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINM = MEDIUM VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINS = SMALL VINYL CLEAR GLOVES / 10 X 100 UNITS | GLOVVINXL = XLARGE VINYL CLEAR GLOVES / 10 X 100 UNITS
VIEDERA,POLYETHYLENE GLOVES / SMALL,,similar — review,,,POLYETHYLENE GLOVES / Small /  500UN = POLYETHYLENE GLOVES / Small /  500UN
VIEDERA,POLYETHYLENE GLOVES / MEDIUM,,similar — review,,,GLV-001 = POLYETHYLENE GLOVES / MEDIUM /  500UN
VIEDERA,POLYETHYLENE GLOVES / LARGE,,similar — review,,,POLYETHYLENE GLOVES / x-large /  500UN = POLYETHYLENE GLOVES / x-large /  500UN | GLV-002 = POLYETHYLENE GLOVES / LARGE / 500UN
VIEDERA,POLYETHYLENE GLOVES / X-LARGE,,similar — review,,,POLYETHYLENE GLOVES / x-large /  500UN = POLYETHYLENE GLOVES / x-large /  500UN | GLV-002 = POLYETHYLENE GLOVES / LARGE / 500UN
VIEDERA,BLACK GARBAGE BAG 26X36,,similar — review,,,BAGBLK2636 = BLACK GARBAGE BAG 26X36 200UNIT | #8 bag = #8 bag
VIEDERA,BLACK GARBAGE BAGS 22X24,,similar — review,,,BAGBLK2224 = BLACK GARBAGE BAGS 22X24 (500UN) | BAGBLK3550 = EXTRA STRONG BLACK GARBAGE BAGS 35X50 (100UN) | BAGBLK4248 = BLACK GARBAGE BAGS 42X48 (100UN)
VIEDERA,BLACK GARBAGE BAGS 42X48,,similar — review,,,BAGBLK2224 = BLACK GARBAGE BAGS 22X24 (500UN) | BAGBLK3550 = EXTRA STRONG BLACK GARBAGE BAGS 35X50 (100UN) | BAGBLK4248 = BLACK GARBAGE BAGS 42X48 (100UN)
VIEDERA,EXTRA STRONG BLACK GARBAGE BAGS 35X50,,similar — review,,,BAGBLK3550 = EXTRA STRONG BLACK GARBAGE BAGS 35X50 (100UN)
LordFord,WAIWAI - RICE VERMICELLI,24 X 500G,exact (name + pack),RICEWAI,WAIWAI - RICE VERMICELLI / 24 X 500G,
LordFord,S5 CLEAR PLASTIC BAGS,1000UN,exact (name + pack),BAGCLS5,S5 CLEAR PLASTIC BAGS (1000UN),BAGCLS2 = S2 CLEAR PLASTIC BAGS (1000UN)
LordFord,FOCO - COCONUT DRINK,24X350ML,exact (name + pack),FOCOCOCO,FOCO - COCONUT DRINK 24X350ML,
LordFord,FOCO - LYCHEE JUICE,24X350ML,exact (name + pack),FOCOLYCHEE,FOCO - LYCHEE JUICE 24X350ML,
LordFord,FOCO - MANGO NECTAR,24X350ML,exact (name + pack),FOCOMANGO,FOCO - MANGO NECTAR 24X350ML,
LordFord,DOLL SPRING ROLL PASTRY 6X6INCH,30X200G,exact (name + pack),SPRINGRPAST66,DOLL SPRING ROLL PASTRY 6X6INCH (30X200G),SPRINGRPAST88 = DOLL SPRING ROLL PASTRY 8.5X8.5INCH (30X400G)
LordFord,DOLL SPRING ROLL PASTRY 8.5X8.5INCH,30X400G,exact (name + pack),SPRINGRPAST88,DOLL SPRING ROLL PASTRY 8.5X8.5INCH (30X400G),
LordFord,FRIED GARLIC,24 X 454G,exact (name + pack),FRIEDGARL,FRIED GARLIC (24 X 454G),FRYGAR = FRIED GARLIC / 450G
LordFord,FRESH KIM CHI,10KG,exact (name + pack),KIMCHIFRESH,FRESH KIM CHI 10KG,
LordFord,ERAWAN - WHITE GLUTINOUS RICE FLOUR,30 X 400G,exact (name + pack),GLURICEFLOUR400,ERAWAN - WHITE GLUTINOUS RICE FLOUR / 30 X 400G,FLOURRICE = WHITE RICE FLOUR (30X400G)
L'Artisan Du Canape,MINI CONE 78MM,140 UNIT,exact (name + pack),MINICONE78MM,MINI CONE 78MM (140 UNIT),
L'Artisan Du Canape,MINI ROUND TARTELET SALTED 38MM,240 UNITS,exact (name + pack),TARTRONDE,MINI ROUND TARTELET SALTED 38MM (240 UNITS),
L'Artisan Du Canape,ROUND MINI PRESTIGE TART,245 UNIT,exact (name + pack),TARTPRESTIGE,ROUND MINI PRESTIGE TART - 245 UNIT,
